input,output,instruction,is_dismissal,predicted_line,predicted_length,predicted_shot
play type description is wide batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Jake Ball batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is False innings wickets is 0  ,"good length, shaping away a little... looked to be inside the tramlines but signalled wide
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Good Length,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Jake Ball batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 6.0 innings wickets is 0  ,"short of a length outside off, Finch throws his hands up
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Short,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Jake Ball batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 3.0 innings wickets is 0  ,"fuller, around off stump and punched back to the bowler
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Jake Ball batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 2.0 innings wickets is 0  ,"angled in with the arm, Finch works this without timing to midwicket
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is leg bye batting team is Australia bowling team is England total runs on delivery is 3 bowler name is Jake Ball batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 6.0 innings wickets is 3  ,"short of a length on the hip, 82mph and Finch flicks it towards fine leg, where Rashid does a terrific job of cutting the ball off in front of the rope to prevent four
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Short,Flick
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Jake Ball batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 5.0 innings wickets is 0  ,"short and rising over off stump, Finch defends stoutly
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Short,Defend
play type description is four batting team is Australia bowling team is England total runs on delivery is 4 bowler name is Jake Ball batsman name is Aaron Finch over runs is 9 dismissal is False dismissal type is  dismissal text is 9.33 innings wickets is 0  ,"superbly played off the pads, too straight from Ball and Finch just pings it wide of mid-on for his first boundary
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Sam Curran batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 8.7 innings wickets is 0  ,"nicely bowled, slides this across the right-hander from over the wicket, past the outside edge
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Full,Unknown
play type description is four batting team is Australia bowling team is England total runs on delivery is 4 bowler name is Sam Curran batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 9.42 innings wickets is 0  ,"now Finch gets on to the front foot and uses his muscle, bullied over extra cover for a no-nonsense four
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is six batting team is Australia bowling team is England total runs on delivery is 6 bowler name is Sam Curran batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 10.63 innings wickets is 0  ,"heaved over the leg side, <b>that's sailed into the crowd at deep square!</b> Maybe a slower ball, 75mph and Finch was aiming more down the ground... but he still got plenty on it!
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Full,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Sam Curran batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 10.17 innings wickets is 0  ,"comes across and defends on off
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Defend
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Sam Curran batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 9.75 innings wickets is 0  ,"pitched up and driven, Moeen misfields at mid-off but Finch still sends Head back, think he was probably home as the throw came in
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Drive
play type description is four batting team is Australia bowling team is England total runs on delivery is 4 bowler name is Joe Root batsman name is Aaron Finch over runs is 13 dismissal is False dismissal type is  dismissal text is 10.34 innings wickets is 0  ,"ho ho, they're not going to let Root settle today! Finch picks this up and spanks it straight back down the ground for four
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is run batting team is Australia bowling team is England total runs on delivery is 2 bowler name is Joe Root batsman name is Aaron Finch over runs is 13 dismissal is False dismissal type is  dismissal text is 10.4 innings wickets is 0  ,"floated up on off stump, bit of a miscue as Finch launches again, this plugs out towards deep extra cover for a couple
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Jake Ball batsman name is Aaron Finch over runs is 6 dismissal is False dismissal type is  dismissal text is 9.77 innings wickets is 0  ,"is that a drop? No, I don't think it quite carried... Finch glancing uppishly towards short fine leg, Curran dived forwards but couldn't <i>quite</I> get his hands underneath the ball. Prevented it getting away, though
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Short,Unknown
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Jake Ball batsman name is Aaron Finch over runs is 6 dismissal is False dismissal type is  dismissal text is 9.66 innings wickets is 0  ,"slower ball, tucked off the pads for a single square
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 2 dismissal is False dismissal type is  dismissal text is 9.56 innings wickets is 0  ,"over the wicket, spinning in to hit the front pad as Finch reverse-sweeps... Buttler bellows an lbw appeal, but I think there was some glove on it
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Full,Sweep
play type description is out batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 2 dismissal is True dismissal type is bowled dismissal text is 9.23 innings wickets is 0  ,"got him, Moeen strikes - <b>snuck through into the timber!</b> What a good series he's having, this just gripped and spun, cramping Finch as he swung across the line, clipped the bottom edge and then rattled the stumps
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",True,Off Stump,Full,Unknown
play type description is run batting team is England bowling team is Australia total runs on delivery is 1 bowler name is Aaron Finch batsman name is Jonny Bairstow over runs is 7 dismissal is False dismissal type is  dismissal text is 7.93 innings wickets is 0  ,"calmly driven into the covers
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Drive
play type description is no run batting team is England bowling team is Australia total runs on delivery is 0 bowler name is Aaron Finch batsman name is Alex Hales over runs is 7 dismissal is False dismissal type is  dismissal text is 7.86 innings wickets is 0  ,"square driven to point
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Drive
play type description is no run batting team is England bowling team is Australia total runs on delivery is 0 bowler name is Aaron Finch batsman name is Alex Hales over runs is 7 dismissal is False dismissal type is  dismissal text is 7.8 innings wickets is 0  ,"onto the front foot and pressed into the off side
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Defend
play type description is run batting team is England bowling team is Australia total runs on delivery is 1 bowler name is Aaron Finch batsman name is Alex Hales over runs is 7 dismissal is False dismissal type is  dismissal text is 7.79 innings wickets is 0  ,"squeezed back past the bowler, who is really rattling through this over
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is run batting team is England bowling team is Australia total runs on delivery is 1 bowler name is Aaron Finch batsman name is Jonny Bairstow over runs is 7 dismissal is False dismissal type is  dismissal text is 7.77 innings wickets is 0  ,"on the back foot, punched firmly back past the bowler once more
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is four batting team is England bowling team is Australia total runs on delivery is 4 bowler name is Aaron Finch batsman name is Alex Hales over runs is 7 dismissal is False dismissal type is  dismissal text is 7.9 innings wickets is 0  ,"down on one knee, and slapped handsomely through midwicket! A clumping finish to an otherwise effective over
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
